Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,,,"batch_size=32, lr = 0.01",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,"batch_size=32,lr=1e-4",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
31,0.664,0.008,0.10131,99.0249,99.9895,5.00E-09,,,,,31,0.794,0.012,0.09127,99.0249,99.9266,5.00E-09,,,31,0.792,0.011,0.09237,99.1087,99.9581,5.00E-09
32,0.66,0.008,0.10191,98.9934,99.9685,5.00E-09,,,,,32,0.788,0.011,0.09025,99.0249,99.9581,5.00E-09,,,32,0.788,0.013,0.0902,99.0458,99.9581,5.00E-09
33,0.661,0.01,0.10182,98.9829,99.9581,5.00E-09,,,,,33,0.788,0.011,0.09245,99.0039,99.979,5.00E-09,,,33,0.786,0.011,0.09442,98.9515,99.9581,5.00E-09
34,0.66,0.008,0.10459,98.7103,99.9581,5.00E-09,,,,,34,0.789,0.012,0.09298,99.0773,99.9581,5.00E-09,,,34,0.786,0.01,0.08973,99.0668,100,5.00E-09
35,0.66,0.008,0.1038,98.899,99.9581,5.00E-09,,,,,35,0.788,0.012,0.09256,98.941,99.9685,5.00E-09,,,35,0.786,0.01,0.08955,99.0773,99.979,5.00E-09
36,0.662,0.01,0.10648,98.7103,99.9685,5.00E-09,,,,,36,0.788,0.011,0.09112,99.0458,99.9685,5.00E-09,,,36,0.787,0.012,0.09136,99.0458,99.9581,5.00E-09
37,0.66,0.008,0.10392,98.8047,99.9476,5.00E-09,,,,,37,0.788,0.011,0.09075,99.1087,99.9895,5.00E-09,,,37,0.785,0.01,0.08924,99.1612,99.979,5.00E-09
31,0.668,0.008,0.10506,98.7627,99.9371,5.00E-09,,,,,38,0.788,0.011,0.09423,99.0668,100,5.00E-09,,,38,0.785,0.01,0.09115,99.1087,99.9581,5.00E-09
32,0.666,0.01,0.10577,98.8571,99.9581,5.00E-09,,,,,39,0.788,0.012,0.09223,99.0563,99.979,5.00E-09,,,39,0.785,0.01,0.08849,99.1612,99.979,5.00E-09
33,0.664,0.008,0.10576,98.7313,99.9581,5.00E-09,,,,,40,0.787,0.011,0.0915,98.8781,99.979,5.00E-09,,,40,0.787,0.012,0.09312,98.9829,99.979,5.00E-09
34,0.664,0.008,0.10619,98.6998,99.979,5.00E-09,,,,,,,,,,,,,,41,0.786,0.011,0.08931,99.1402,99.9476,5.00E-09
35,0.664,0.008,0.10108,98.8676,99.9685,5.00E-09,,,,,,,,,,,,,,42,0.785,0.011,0.08909,99.1926,99.9685,5.00E-09
,,,,,,,,,,,,,,,,,,,,43,0.785,0.011,0.08911,99.0982,99.979,5.00E-09
,,,,,,,,,,,,,,,,,,,,44,0.787,0.012,0.09136,99.0039,99.9685,5.00E-09
,,,,,,,,,,,,,,,,,,,,45,0.785,0.011,0.09178,98.941,99.9685,5.00E-09
,,,,,,,,,,,,,,,,,,,,46,0.785,0.01,0.0932,98.7627,99.9895,5.00E-09
,,,,,,,,,,,,,,,,,,,,47,0.786,0.011,0.09194,99.0249,99.9581,5.00E-09
,,,,,,,,,,,,,,,,,,,,48,0.785,0.01,0.08775,99.2031,99.9895,5.00E-09
,,,,,,,,,,,,,,,,,,,,49,0.788,0.013,0.09158,98.9934,99.9476,5.00E-09
,,,,,,,,,Centre Crop and Verticalflip added,,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,,,50,0.785,0.01,0.09558,98.9515,99.9685,5.00E-09
,,,,,,,,,,,31,0.663,0.008,0.53181,88.6547,97.5674,5.00E-09,,,51,0.785,0.01,0.09111,99.0458,99.9895,5.00E-09
,,,,,,,,,,,32,0.66,0.008,0.52032,88.5499,97.5464,5.00E-09,,,52,0.785,0.01,0.09216,98.9724,99.9476,5.00E-09
,,,,,,,,,,,33,0.66,0.008,0.52219,88.3821,97.3367,5.00E-09,,,53,0.786,0.011,0.09052,99.0039,99.9685,5.00E-09
,,,,,,,,,,,34,0.661,0.009,0.52752,88.3926,97.4835,5.00E-09,,,54,0.786,0.011,0.08806,99.0982,99.9895,5.00E-09
,,,,,,,,,,,35,0.661,0.009,0.52638,88.6547,97.2423,5.00E-09,,,55,0.786,0.011,0.09275,99.0249,99.9581,5.00E-09
,,,,,,,,,,,36,0.66,0.008,0.54159,87.9627,97.3367,5.00E-09,,,56,0.786,0.01,0.09054,98.941,99.979,5.00E-09
,,,,,,,,,,,37,0.66,0.008,0.53022,88.5918,97.4625,5.00E-09,,,57,0.789,0.013,0.0921,98.9724,99.9581,5.00E-09
,,,,,,,,,,,38,0.66,0.009,0.5168,89.1056,97.4415,5.00E-09,,,58,0.788,0.012,0.09075,98.8885,99.9685,5.00E-09
,,,,,,,,,,,39,0.66,0.008,0.53422,88.4345,97.3577,5.00E-09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Centercrop,verticalflip,colorjitter(br=0.5,contract=0.5)",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,"Centercrop,horizontalflip,colorjitter(br=0.5,contract=0.5)",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
,,,,,,,,,,,31,0.665,0.009,0.61468,85.9599,96.5503,5.00E-09,,,31,0.386,0.011,0.13107,98.3014,99.9056,5.00E-09
,,,,,,,,,,,32,0.662,0.01,0.61301,85.9809,96.8334,5.00E-09,,,32,0.384,0.012,0.13019,98.4481,99.979,5.00E-09
,,,,,,,,,,,33,0.661,0.01,0.59771,86.6939,97.0116,5.00E-09,,,33,0.381,0.011,0.1336,98.3643,99.9056,5.00E-09
,,,,,,,,,,,34,0.661,0.01,0.60762,86.3584,96.781,5.00E-09,,,34,0.383,0.012,0.13452,98.186,99.8742,5.00E-09
,,,,,,,,,,,35,0.661,0.01,0.61109,86.4842,96.6971,5.00E-09,,,35,0.381,0.01,0.1329,98.165,99.9371,5.00E-09
,,,,,,,,,,,36,0.661,0.009,0.62108,86.2116,96.4349,5.00E-09,,,36,0.382,0.011,0.12906,98.2594,99.9476,5.00E-09
,,,,,,,,,,,37,0.661,0.01,0.58585,87.0504,97.0431,5.00E-09,,,37,0.384,0.01,0.13284,98.3748,99.9476,5.00E-09
,,,,,,,,,,,38,0.661,0.009,0.6045,86.6415,96.781,5.00E-09,,,38,0.383,0.011,0.13078,98.4481,99.9161,5.00E-09
,,,,,,,,,,,39,0.661,0.009,0.5928,86.6415,96.8648,5.00E-09,,,39,0.384,0.011,0.13391,98.2909,99.9161,5.00E-09
,,,,,,,,,,,40,0.661,0.01,0.59533,86.7883,96.8334,5.00E-09,,,40,0.383,0.011,0.13007,98.228,99.9476,5.00E-09
,,,,,,,,,,,41,0.661,0.01,0.60433,86.4632,96.9173,5.00E-09,,,41,0.383,0.011,0.13107,98.3014,99.979,5.00E-09
